Unnamed: 0,町名,家庭ごみの収集日,プラスチックの収集日,粗大ごみの収集日  （事前申込制）
あ,青葉台,火曜日・金曜日,月曜日,第2木曜日
,大字伊川,火曜日・金曜日,木曜日,第1月曜日
,泉ケ丘,火曜日・金曜日,月曜日,第2水曜日
,稲積1～2丁目,火曜日・金曜日,月曜日,第2木曜日
,大字今津,火曜日・金曜日,木曜日,第1月曜日
,梅ノ木町,火曜日・金曜日,月曜日,第2火曜日
,老松町,月曜日・木曜日,火曜日,第1水曜日
,大久保1～3丁目,火曜日・金曜日,木曜日,第1火曜日
,大字大積,火曜日・金曜日,木曜日,第1火曜日
,奥田1～5丁目,火曜日・金曜日,木曜日,第2月曜日
,町名,家庭ごみの収集日,プラスチックの収集日,粗大ごみの収集日  （事前申込制）
か,花月園,月曜日・木曜日,火曜日,第1水曜日
,風師1～4丁目,火曜日・金曜日,木曜日,第1金曜日
,春日町,火曜日・金曜日,木曜日,第1木曜日
,片上海岸,火曜日・金曜日,木曜日,第1金曜日
,片上町,火曜日・金曜日,木曜日,第1金曜日
,上ニ十町,火曜日・金曜日,木曜日,第2月曜日
,上藤松1～3丁目,火曜日・金曜日,月曜日,第2木曜日
,上本町,月曜日・木曜日,火曜日,第1水曜日
,上馬寄1～3丁目,火曜日・金曜日,月曜日,第2水曜日
,大字吉志（一部）,月曜日・木曜日,火曜日,第1月曜日
,大字吉志（一部）,火曜日・金曜日,木曜日,第1月曜日
,吉志1丁目（一部）,月曜日・木曜日,火曜日,第1月曜日
,吉志1丁目（一部）,火曜日・金曜日,木曜日,第1月曜日
,吉志2～3丁目,火曜日・金曜日,木曜日,第1月曜日
,吉志4～7丁目,月曜日・木曜日,火曜日,第1月曜日
,吉志新町1～3丁目,月曜日・木曜日,火曜日,第1月曜日
,北川町,火曜日・金曜日,木曜日,第1金曜日
,大字喜多久,火曜日・金曜日,木曜日,第1火曜日
,旧門司1～2丁目,月曜日・木曜日,火曜日,第1水曜日
,清滝1丁目,火曜日・金曜日,木曜日,第1木曜日
,清滝3丁目（一部）,月曜日・木曜日,火曜日,第1木曜日
,清滝3丁目（一部）,火曜日・金曜日,木曜日,第1木曜日
,清滝4～5丁目,月曜日・木曜日,火曜日,第1木曜日
,清見1～4丁目,月曜日・木曜日,火曜日,第1火曜日
